"Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Electron Current (x10^-10 A) Run #1","Time (s) Run #2","Current (A) Run #2","Voltage (V) Run #2","Electron Current (x10^-10 A) Run #2","Time (s) Run #3","Current (A) Run #3","Voltage (V) Run #3","Electron Current (x10^-10 A) Run #3","Time (s) Run #4","Current (A) Run #4","Voltage (V) Run #4","Electron Current (x10^-10 A) Run #4","Time (s) Run #5","Current (A) Run #5","Voltage (V) Run #5","Electron Current (x10^-10 A) Run #5"
662.900,-1.077E-11,64.1,0.11,2007.400,-1.025E-11,67.1,0.10,,,,,1152.700,-2.016E-12,51.2,0.02,499.600,-5.227E-11,45.2,0.52
673.200,-1.563E-11,66.2,0.16,2058.000,-1.010E-11,67.6,0.10,,,,,1172.100,-3.342E-12,52.2,0.03,509.800,-4.516E-11,46.1,0.45
685.300,-1.589E-11,68.1,0.16,2120.700,-9.744E-12,68.1,0.10,,,,,1219.900,-6.182E-12,54.1,0.06,521.700,-2.593E-11,48.1,0.26
698.000,-1.216E-11,70.1,0.12,2166.700,-7.680E-12,70.1,0.08,,,,,1261.900,-6.562E-12,54.6,0.07,540.700,-2.080E-11,48.7,0.21
709.200,-6.943E-12,72.2,0.07,2203.400,-4.419E-12,72.1,0.04,,,,,1275.300,-6.976E-12,55.2,0.07,549.500,-1.992E-11,49.1,0.20
749.100,-7.848E-12,74.1,0.08,2235.000,-3.971E-12,72.6,0.04,,,,,1284.500,-7.177E-12,55.7,0.07,558.600,-2.215E-11,49.6,0.22
764.600,-1.505E-11,76.1,0.15,2289.100,-3.973E-12,73.1,0.04,,,,,1298.800,-7.224E-12,56.1,0.07,568.000,-2.708E-11,50.1,0.27
817.300,-1.911E-11,78.1,0.19,2352.100,-4.504E-12,73.6,0.05,,,,,1310.800,-7.136E-12,56.6,0.07,588.300,-5.297E-11,52.1,0.53
896.400,-1.841E-11,80.1,0.18,2365.800,-5.342E-12,74.1,0.05,,,,,1321.200,-6.861E-12,57.2,0.07,604.500,-7.230E-11,54.2,0.72
987.900,-2.218E-13,0.0,0.00,2461.300,-9.283E-12,76.1,0.09,,,,,1334.300,-6.031E-12,58.1,0.06,612.300,-7.268E-11,54.7,0.73
1041.900,-2.366E-13,2.3,0.00,2562.800,-1.061E-11,77.1,0.11,,,,,1349.800,-3.346E-12,60.1,0.03,620.600,-7.272E-11,55.2,0.73
1067.800,-2.383E-13,4.3,0.00,2661.700,-1.155E-11,78.1,0.12,,,,,1380.300,-2.323E-12,61.1,0.02,628.800,-7.087E-11,56.1,0.71
1088.600,-2.406E-13,6.2,0.00,2682.400,-1.221E-11,79.1,0.12,,,,,1400.400,-2.056E-12,61.6,0.02,638.500,-5.327E-11,58.1,0.53
1150.200,-2.206E-13,8.3,0.00,2692.100,-1.214E-11,80.1,0.12,,,,,1410.600,-2.169E-12,62.1,0.02,652.500,-2.622E-11,60.2,0.26
1175.000,-2.361E-13,10.2,0.00,,,,,,,,,1435.400,-2.802E-12,62.7,0.03,661.700,-2.380E-11,60.6,0.24
1246.100,-2.918E-13,12.2,0.00,,,,,,,,,1444.800,-3.639E-12,63.1,0.04,668.900,-2.551E-11,61.1,0.26
1305.700,-4.892E-13,14.2,0.00,,,,,,,,,1459.300,-6.071E-12,64.1,0.06,675.900,-3.059E-11,61.6,0.31
1329.600,-8.555E-13,16.2,0.01,,,,,,,,,1497.300,-9.853E-12,66.1,0.10,689.900,-3.646E-11,62.1,0.36
1380.700,-1.207E-12,18.2,0.01,,,,,,,,,1534.200,-1.061E-11,67.1,0.11,710.800,-6.808E-11,64.2,0.68
1502.100,-1.357E-12,20.2,0.01,,,,,,,,,1544.100,-1.082E-11,67.6,0.11,727.900,-8.723E-11,66.2,0.87
1544.500,-1.362E-12,20.7,0.01,,,,,,,,,1556.100,-1.077E-11,68.1,0.11,740.100,-8.840E-11,67.2,0.88
1580.700,-1.386E-12,21.2,0.01,,,,,,,,,1570.100,-1.014E-11,69.1,0.10,748.500,-8.632E-11,67.6,0.86
1660.100,-1.366E-12,21.7,0.01,,,,,,,,,1581.000,-8.943E-12,70.1,0.09,756.500,-8.329E-11,68.1,0.83
1713.500,-1.351E-12,22.2,0.01,,,,,,,,,1597.400,-5.146E-12,72.1,0.05,767.000,-6.323E-11,70.1,0.63
1747.800,-1.354E-12,22.7,0.01,,,,,,,,,1618.200,-3.647E-12,73.1,0.04,777.100,-3.475E-11,72.1,0.35
1788.900,-1.323E-12,23.2,0.01,,,,,,,,,1627.300,-3.399E-12,73.6,0.03,804.800,-3.278E-11,72.6,0.33
1823.200,-1.279E-12,24.2,0.01,,,,,,,,,1636.700,-3.658E-12,74.1,0.04,812.600,-3.558E-11,73.1,0.36
1856.300,-1.248E-12,24.7,0.01,,,,,,,,,1647.000,-4.369E-12,74.5,0.04,822.900,-6.577E-11,75.1,0.66
1901.500,-1.224E-12,25.2,0.01,,,,,,,,,1663.900,-8.567E-12,76.1,0.09,832.700,-9.583E-11,77.1,0.96
1993.900,-1.209E-12,25.7,0.01,,,,,,,,,1678.100,-1.384E-11,78.1,0.14,841.900,-1.016E-10,78.1,1.02
2079.600,-1.230E-12,26.2,0.01,,,,,,,,,1691.100,-1.514E-11,79.1,0.15,849.900,-1.042E-10,79.1,1.04
2150.400,-1.253E-12,26.7,0.01,,,,,,,,,1705.700,-1.549E-11,80.1,0.15,858.300,-1.007E-10,80.1,1.01
2194.400,-1.489E-12,28.2,0.01,,,,,,,,,,,,,,,,
2253.600,-2.121E-12,30.2,0.02,,,,,,,,,,,,,,,,
2290.400,-2.416E-12,31.2,0.02,,,,,,,,,,,,,,,,
2349.600,-2.506E-12,31.7,0.03,,,,,,,,,,,,,,,,
2381.700,-2.589E-12,32.2,0.03,,,,,,,,,,,,,,,,
2431.500,-2.625E-12,32.7,0.03,,,,,,,,,,,,,,,,
2499.100,-2.629E-12,33.2,0.03,,,,,,,,,,,,,,,,
2556.700,-2.628E-12,33.6,0.03,,,,,,,,,,,,,,,,
2664.700,-2.585E-12,34.2,0.03,,,,,,,,,,,,,,,,
2720.700,-2.360E-12,35.2,0.02,,,,,,,,,,,,,,,,
2797.300,-2.091E-12,36.2,0.02,,,,,,,,,,,,,,,,
2862.700,-1.954E-12,36.7,0.02,,,,,,,,,,,,,,,,
2909.800,-1.851E-12,37.2,0.02,,,,,,,,,,,,,,,,
